other_united_states,other_new_england,other_connecticut,other_maine,wind_minnesota,wind_california,wind_united_states
6025,678,75,348,86,133,389
5310,599,77,293,73,148,431
5795,660,96,327,67,300,532
5827,593,92,277,91,393,685
5738,640,72,336,73,378,635
5964,633,71,324,64,438,670
6244,632,72,323,56,440,635
6293,684,72,365,49,408,577
5770,635,69,339,55,293,490
6050,551,69,250,91,253,607
5713,604,70,299,97,143,470
6038,650,73,344,92,172,616
6599,646,67,362,98,131,811
5800,574,59,309,103,153,714
6354,657,73,346,58,267,852
6543,575,67,300,95,409,1024
6760,621,71,335,83,478,1078
7066,611,70,339,77,557,1126
7056,646,73,358,34,443,890
7044,644,71,348,58,476,977
6582,633,66,349,74,295,736
6559,604,66,328,61,284,734
6250,596,68,318,76,158,656
6497,661,71,351,88,149,755
6500,598,62,313,79,109,632
5962,534,60,279,92,193,745
6719,578,67,296,103,326,1036
6674,511,67,258,86,424,1093
6473,567,67,295,78,453,1006
6678,564,64,286,54,549,1047
7009,615,70,317,64,432,953
6790,648,65,359,47,396,815
6537,604,66,328,84,340,895
6548,555,66,272,82,285,897
6531,580,65,299,110,188,961
7067,573,66,284,100,201,1105
6888,573,55,283,61,130,999
6489,574,57,307,64,202,1022
7001,608,64,324,81,288,1291
6895,517,67,258,68,399,1295
7339,597,67,294,82,634,1702
7098,540,65,274,53,683,1397
7267,567,64,289,38,588,1164
7027,614,64,323,50,492,1051
6697,584,64,307,67,359,1090
6851,570,67,277,74,259,1029
6492,576,63,301,84,155,932
7024,654,61,360,92,117,1172
7004,611,57,344,110,175,1132
6221,564,49,310,112,150,966
7369,643,57,354,133,334,1561
7201,526,65,278,146,429,1698
7544,618,68,327,164,551,1746
7636,613,66,326,123,584,1797
7565,661,69,358,108,497,1421
7236,684,65,385,78,384,1138
7294,647,63,361,138,404,1468
7182,585,66,304,126,322,1446
7322,620,64,347,199,217,1610
7756,670,65,375,145,214,1828
8435,648,58,355,199,281,2383
7374,605,60,328,175,215,1922
8199,636,63,347,194,389,2359
7860,527,64,282,199,430,2472
8036,561,67,281,202,577,2459
7782,593,66,324,116,596,2052
8121,624,67,336,124,538,1955
7894,663,66,363,98,500,1655
7720,609,62,349,133,402,1879
8295,620,64,324,193,396,2442
8304,609,65,317,183,292,2540
8505,661,60,360,239,267,2472
8668,664,65,351,284,233,2452
7877,613,55,330,199,307,2520
8778,662,63,343,276,442,3047
8693,546,59,280,247,612,3172
8621,644,66,328,268,732,2952
8549,673,63,375,167,729,2620
8371,688,59,377,128,675,2158
8895,720,62,390,100,600,2699
8843,684,61,379,230,486,2867
9362,649,57,332,236,349,3377
9029,670,60,340,267,188,3095
9553,706,60,382,236,233,3490
10243,699,55,392,385,271,4273
9349,636,52,338,313,262,3852
10703,668,61,352,326,450,4782
10971,612,64,321,427,538,5225
11100,629,65,317,397,691,5340
11145,623,65,308,251,658,5140
10333,681,64,358,223,700,4008
9514,682,60,373,246,648,3264
8924,624,58,320,349,406,3111
10647,609,64,290,397,298,4756
10782,674,61,346,453,223,4994
12390,668,63,340,587,240,6616
11739,670,60,356,504,150,5951
11231,633,59,345,509,245,5852
12950,627,60,323,556,442,7099
12986,580,65,297,560,603,7458
11864,585,69,256,493,701,6262
11467,627,63,307,299,850,5599
11187,641,65,309,269,879,4955
11791,696,65,364,317,679,5464
10524,640,63,315,258,480,4651
12668,628,63,309,418,406,6814
12810,687,64,384,411,235,6875
13061,684,63,373,459,170,6906
12805,675,55,356,440,150,6854
10901,666,55,357,274,221,5432
14654,699,63,380,449,399,8589
15607,598,66,309,482,546,9764
14631,670,68,338,440,689,8698
14209,688,64,354,294,867,8049
13107,693,61,374,268,925,6724
13100,692,65,363,329,731,6686
13227,627,59,312,344,551,7106
13791,635,59,303,432,372,7944
15782,650,60,320,505,305,9748
15359,727,63,386,534,324,9059
14742,697,47,403,465,234,8550
16116,627,36,375,691,429,10452
16650,716,51,399,543,612,10545
18125,544,59,302,642,960,12422
17638,568,61,317,712,1026,11772
17284,674,58,385,479,1021,10985
14000,718,58,395,290,869,7489
14054,719,59,393,272,908,7474
13048,658,53,364,359,522,6869
16550,639,59,332,732,415,10525
18589,713,58,413,807,428,12439
17185,743,61,415,733,325,10656
19904,724,53,407,869,419,13631
16996,704,50,394,634,581,11052
20201,722,60,395,748,769,14027
18563,616,56,310,819,768,12709
18898,615,60,292,798,1316,12540
18469,697,58,377,623,1362,11972
15726,726,59,401,407,1001,8823
15330,732,57,399,433,1001,8469
15402,713,54,406,533,697,8790
19225,725,51,422,854,776,12636
18217,745,55,397,796,385,11648
21401,838,52,466,662,679,14524
21518,823,51,442,903,482,14739
20330,747,45,405,691,727,14076
22810,838,56,438,737,1056,15756
23961,665,56,316,800,1550,17476
